"CatchID","species","length","weight"
261,"largemouth",381,996
262,"yellowPerch",98,138
263,"bluegill",145,131
264,"largemouth",385,851
265,"largemouth",257,450
266,"bluegill",56,138
267,"bluegill",114,189
268,"channelCatfish",399,699
269,"bluegill",65,199
270,"bluegill",128,165
271,"bluegill",139,115
272,"bluegill",187,147
273,"bluegill",199,137
274,"yellowPerch",75,222
275,"bluegill",150,107
276,"bluegill",118,199
277,"bluegill",52,182
278,"bluegill",61,178
279,"bluegill",65,89
280,"channelCatfish",192,499
281,"yellowPerch",92,227
282,"bluegill",100,98
283,"yellowPerch",178,132
284,"yellowPerch",126,201
285,"largemouth",381,369
286,"bluegill",65,153
287,"channelCatfish",323,764
288,"largemouth",373,315
289,"channelCatfish",317,673
290,"channelCatfish",174,513
291,"channelCatfish",137,537
292,"bluegill",139,162
293,"bluegill",151,85
294,"bluegill",187,177
295,"bluegill",87,195
296,"bluegill",178,143
297,"yellowPerch",157,271
298,"channelCatfish",450,648
299,"bluegill",121,194
300,"channelCatfish",449,758
